Iteration 1,Iteration 2,H1 Total Purchased Energy from Peers [Wh],H2 Total Purchased Energy from Peers [Wh],H3 Total Purchased Energy from Peers [Wh],H3 Total Sold Energy from Peers [Wh],H4 Total Purchased Energy from Peers [Wh],H4 Total Sold Energy from Peers [Wh],H5 Total Purchased Energy from Peers [Wh],H6 Total Purchased Energy from Peers [Wh],H6 Total Sold Energy to Peers [Wh],H7 Total Purchased Energy from Peers [Wh],H8 Total Purchased Energy from Peers [Wh],H8 Total Sold Energy to Peers [Wh],H9 Total Purchased Energy from Peers [Wh],H10 Total Purchased Energy from Peers [Wh],H10 Total Sold Energy to Peers [Wh]
226,72,26731,51699,160,41638,13400,5028,26464,0,43257,25992,30,40449,27270,30,41404
227,72,26801,51855,30,40698,13412,5114,26297,0,41623,26481,30,41222,26725,246,43220
228,72,26573,51804,246,42666,13361,5704,26842,0,40654,25897,30,41229,26757,160,41417
229,72,27079,51270,246,42642,13433,6040,26491,0,41256,25995,30,40783,26306,30,40159
230,72,26701,50095,246,42269,13454,6510,26491,0,40833,26459,30,39766,26680,160,40938
231,72,26798,50345,246,42258,13313,6749,26633,0,40006,25977,160,40554,26525,30,40460
232,72,27234,48638,246,41723,13295,6749,26411,0,39824,25982,160,40203,26433,30,39930
233,72,27234,46888,246,41244,13295,6749,26411,0,39340,25982,30,39366,26433,160,39980
234,72,26971,45596,30,39237,13343,6749,26373,0,38512,25729,246,40860,26481,160,39571
235,72,27033,44186,160,38895,13368,6533,25787,0,40915,25866,30,37930,26630,30,38817
236,72,26894,42440,30,38243,13192,6513,25769,0,37951,25624,160,38557,27201,246,40292
237,72,27094,40445,160,38084,13225,6297,25911,0,40077,25965,30,37167,26730,30,37965
238,72,27085,40243,30,38030,13244,6105,25974,0,38490,26038,30,37367,26793,246,39691
239,72,26849,38892,246,39514,13466,5823,26603,0,38174,25849,30,37080,26611,30,37985
240,72,26849,37142,160,37361,13466,5953,26603,0,37722,25849,30,36798,26611,246,39122
241,72,26578,35840,30,36252,13711,5737,26221,0,39020,26147,160,37083,26585,30,37210
242,72,27245,35607,30,36252,13923,5737,26177,0,39020,25766,160,37083,26364,30,37210
243,72,26619,34706,160,37015,13926,5737,26693,0,38812,25842,30,36182,26823,30,37083
244,72,26619,32956,30,36114,13926,5953,26693,0,36630,25842,160,36399,26823,246,38199
245,72,27305,31716,30,36566,13923,5363,26318,0,36425,25867,30,35498,26317,246,37900
246,72,27289,30705,160,36420,13923,5027,26221,0,35524,25810,30,36009,26408,246,37812
247,72,26693,29230,30,35519,13924,4471,26769,0,37728,25981,160,35850,26703,30,35952
248,72,27388,27893,30,36032,14199,4318,26115,0,35910,25972,30,34949,26728,246,37392
249,72,26820,27623,30,35248,14058,4232,26802,0,37494,26076,160,35703,26764,30,35686
250,72,26820,27623,30,35248,14058,4232,26802,0,37494,26076,160,35703,26764,30,35686
251,72,26843,27600,30,35248,14058,4232,26802,0,37494,26076,160,35703,26764,30,35686
252,72,27013,27411,160,36022,14091,4448,26258,0,35788,26037,246,37287,27206,30,34907
253,72,27013,27411,160,36022,14091,4448,26258,0,35788,26037,246,37287,27206,30,34907
254,72,27129,26983,160,36022,14294,4448,26882,0,35788,25838,246,37287,26890,30,34907
255,72,27557,26058,30,35121,14152,4318,26322,0,35634,26181,30,35308,26921,246,37116
256,72,27266,25441,160,35822,14163,4232,26430,0,37218,26622,30,34529,27069,30,35410
257,72,27266,25441,160,35822,14163,4232,26430,0,37218,26622,30,34529,27069,30,35410
258,72,27266,25341,160,35822,14163,4232,26530,0,37218,26622,30,34529,27069,30,35410
259,72,27607,25269,160,35822,14163,4232,26836,0,37218,26047,30,34529,27069,30,35410
260,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
261,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
262,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
263,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
264,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
265,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
266,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
267,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
268,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
269,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
270,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
271,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
272,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
273,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
274,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
275,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
276,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
277,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
278,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
279,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
280,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
281,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
