Winter1jan;Winter2jan;Winter3Jan;Winter4Jan;Winter5Dec;Winter6jan;Winter7jan;Winter8Dec;Winter9Dec;Winter10Dec;Summer1Jul;Summer2Jul;Summer3Jul;Summer4Jul;Summer5Ag;Summer6Jul;Summer7Jul;Summer8Jul;Summer9Jul;Summer10Ag
-231;-41;-193;-41;-155;-285,666666666667;-249;-163,666666666667;-200,333333333333;-178,333333333333;-49;-49;-49;-63,6666666666667;-107,666666666667;-144,333333333333;-321,666666666667;-144,333333333333;-321,666666666667;-144,333333333333
-53,6666666666667;-41;-167,666666666667;-41;-41;-393;-393;-162,666666666667;-170;-214;-49;-49;-49;-49;-49;-53,6666666666667;-41;-41;-142,333333333333;-41
-41;-104,333333333333;-41;-41;-92,6666666666667;-362,666666666667;-399,333333333333;-49;-49;-49;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-231;-41;-129,666666666667;-41;-41
-123,666666666667;-313,666666666667;-123,666666666667;-263;-196;-353,866666666667;-249;-49;-49;-49;-258;-214;-170;-162,666666666667;-162,666666666667;-117;-41;-231;-41;-205,666666666667
-196;-221,333333333333;-196;-335,333333333333;-145,666666666667;-370;-249;-63,6666666666667;-49;-49;-93;-137;-159;-122,333333333333;-78,3333333333333;-92,6666666666667;-92,6666666666667;-92,6666666666667;-92,6666666666667;-206,666666666667
-216;-51,3333333333333;-102;-51,3333333333333;-231;-370;-249;-159;-129,666666666667;-85,6666666666667;-49;-49;-71;-115;-159;-196;-386;-196;-272;-196
-155;-41;-231;-41;-66,3333333333333;-465,333333333333;-300,333333333333;-105;-149;-193;-49;-49;-49;-49;-49;-82,3333333333333;-171;-82,3333333333333;-272,333333333333;-82,3333333333333
-41;-41;-79;-41;-41;-415;-378,333333333333;-162,666666666667;-162,666666666667;-162,666666666667;-49;-49;-49;-49;-49;-142,333333333333;-41;-41;-53,6666666666667;-41
-41;-193;-41;-79;-154,666666666667;-762,466666666667;-362,666666666667;-49;-49;-49;-134,333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-218,333333333333;-41;-218,333333333333;-41;-104,333333333333
-185,666666666667;-312,333333333333;-185,666666666667;-375,666666666667;-175,333333333333;-648,8;-249;-49;-49;-49;-258;-272,666666666667;-228,666666666667;-184,666666666667;-162,666666666667;-41;-41;-142,333333333333;-41;-231
-207,666666666667;-144,333333333333;-144,333333333333;-195;-193;-182,333333333333;-182,333333333333;-122,333333333333;-78,3333333333333;-49;-49;-78,3333333333333;-122,333333333333;-159;-137;-154,666666666667;-243,333333333333;-154,666666666667;-154,666666666667;-180
-231;-41;-180,333333333333;-41;-167,666666666667;-93;-49;-115;-159;-144,333333333333;-49;-49;-49;-56,3333333333333;-100,333333333333;-175,333333333333;-365,333333333333;-175,333333333333;-340;-175,333333333333
-66,3333333333333;-41;-180,333333333333;-41;-41;-144,333333333333;-159;-90,3333333333333;-90,3333333333333;-134,333333333333;-49;-49;-49;-49;-49;-41;-41;-41;-155;-41
-41;-91,6666666666667;-41;-41;-61,6666666666667;-90,3333333333333;-119,666666666667;-162,666666666667;-162,666666666667;-162,666666666667;-49;-49;-49;-49;-49;-231;-41;-117;-41;-41
-92,6666666666667;-282,666666666667;-92,6666666666667;-219,333333333333;-196;-173,333333333333;-162,666666666667;-49;-49;-49;-193;-149;-105;-90,3333333333333;-90,3333333333333;-129,666666666667;-41;-231;-41;-193
-196;-234;-196;-348;-196;-129;-57;-71;-49;-49;-199,333333333333;-243,333333333333;-272,666666666667;-243,333333333333;-199,333333333333;-61,6666666666667;-64,3333333333333;-74,3333333333333;-75;-321,6
-234,333333333333;-82,3333333333333;-120,333333333333;-82,3333333333333;-345,666666666667;-49;-49;-159;-137;-93;-49;-49;-63,6666666666667;-107,666666666667;-151,666666666667;-222,666666666667;-456;-204;-725,8;-595,8
-167,666666666667;-41;-231;-41;-220,333333333333;-151,666666666667;-107,666666666667;-56,3333333333333;-100,333333333333;-144,333333333333;-49;-49;-49;-49;-49;-153,333333333333;-334,666666666667;-140;-410;-113,333333333333
-41;-41;-91,6666666666667;-41;-219,666666666667;-85,6666666666667;-132,333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-49;-49;-49;-49;-49;-199;-161;-81;-186,333333333333;-73
-51,6666666666667;-180,333333333333;-41;-69,8666666666667;-323,666666666667;-784,466666666667;-884,07483;-162,666666666667;-162,666666666667;-162,666666666667;-100,333333333333;-56,3333333333333;-49;-49;-49;-324,333333333333;-150,333333333333;-1178,53333333333;-145;-110,333333333333
-236,4;-358;-154,666666666667;-397,666666666667;-396;-282,666666666667;-1378,612245;-49;-49;-49;-178,333333333333;-200,333333333333;-163,666666666667;-119,666666666667;-90,3333333333333;-155,666666666667;-121;-304,266666666667;-153;-231
-852,066666666667;-279,333333333333;-191,333333333333;-353;-403,666666666667;-240,933333333333;-1380,47891166667;-129,666666666667;-85,6666666666667;-49;-162,666666666667;-184,666666666667;-228,666666666667;-272,666666666667;-258;-211,666666666667;-279,666666666667;-123,666666666667;-235,666666666667;-161,666666666667
-342,666666666667;-240,933333333333;-270,6;-265,8237424;-474;-313,333333333333;-1933,012245;-107,666666666667;-151,666666666667;-151,666666666667;-49;-49;-49;-49;-93;-294,666666666667;-440,066666666667;-196;-428;-196
-721,066666666667;-187,333333333333;-312,666666666667;-193,957075723333;-375;-447,6;-1502,612245;-55,1333333333333;-59,6666666666667;-85,6666666666667;-49;-49;-49;-49;-49;-143,466666666667;-151,666666666667;-57,4;-237,333333333333;-51,3333333333333
-49,6666666666667;-92;-54;-52,82374237;-2039,26666666667;-384;-1414,612245;-180,666666666667;-525,163265333333;-181;-49;-49;-49;-49;-49;-311,333333333333;-158;-117,333333333333;-2054;-46,2
-61,6666666666667;-264,666666666667;-74,6666666666667;-187,490409054667;-3005,66666666667;-425,333333333333;-1433,94557833333;-295,666666666667;-1493,27891166667;-354,666666666667;-159;-674,733333333333;-103,266666666667;-49;-49;-222;-147,333333333333;-643,8;-854;-193,333333333333
-212;-287,266666666667;-217,413919306667;-366,18441312;-2986,2;-497,666666666667;-1144,94755986667;-254;-1344,94557833333;-249;-151,666666666667;-2565,33333333333;-321,333333333333;-194,333333333333;-134,333333333333;-89,6666666666667;-71,1333333333333;-79,3333333333333;-78;-193,333333333333
