Winter1jan,Winter2jan,Winter3Jan,Winter4Jan,Winter5Dec,Winter6jan,Winter7jan,Winter8Dec,Winter9Dec,Winter10Dec,Summer1Jul,Summer2Jul,Summer3Jul,Summer4Jul,Summer5Ag,Summer6Jul,Summer7Jul,Summer8Jul,Summer9Jul,Summer10Ag
-204.3759397,-354.109273,-329.8,-490.2,-3275.364035,-1417.109273,-632.0221596,-418.3059959,-748.3177465,-768.0095598,-1573.903742,-181.8237424,-217.0502792,-182.8237424,-380.32,-1178.237076,-252.3759397,-2875.984066,-2840.823742,-550.3177465
-268.795363,-377.3092731,-254.129497,-436.3333333,-2783.709273,-626.3759398,-390.6237424,-488.4,-343,-688.7144732,-1342.143742,-149.1570757,-208.0655002,-578.6824949,-292,-245.4904091,-183.709273,-849.2188639,-1929.757076,-125.3570757
-385.6666667,-626.4164355,-872.5570756,-373,-473.5366105,-292.709273,-792.3570755,-650.8666667,-394.8507325,-629.6762523,-399.8237424,-292.8237424,-1009.898572,-175.7333333,-283.9333333,-578.9570757,-283.4346923,-205.818864,-215.2237424,-173.8237424
-259.6666667,-241.7173991,-429.6504091,-393.4666667,-297.2188641,-414.709273,-1382.895354,-464.7333333,-471.2855307,-1259.495676,-300.6707444,-204.8237424,-1306.235987,-280,-387.3333333,-163.576499,-548.418864,-72.55219735,-180.6666667,-175.5570757
-356,-1292.218864,-434.0637424,-806.8,-410.4855307,-515.2376617,-1362.042607,-324.8266667,-353.8855307,-712.9623423,-270.7139101,-224.1570757,-1232.76932,-211.3333333,-362.3923273,-339.3333333,-178.8278386,-139.0385286,-55.57649898,-320.090409
-277.2745808,-1761.418864,-285.1570757,-468.4,-841.3820508,-418.7882495,-483.5876902,-337.64,-287.6464428,-711.5585059,-223.2904091,-284.6666667,-1303.129991,-283.6666667,-417.4904091,-408,-306.6666667,-412.7321669,-210.4904091,-799.6558282
-212.8237424,-416.4855307,-277.8275788,-473.3333333,-354.3333333,-865.1701465,-396.3759397,-364.6139193,-269.2376617,-844.0826048,-182.8237424,-171,-363.4965987,-658.12,-287.6904091,-265.3333333,-265.3333333,-181.4904091,-169.1570757,-399.4133333
-472.8237424,-264.5521974,-393.6393293,-347.2417579,-566.576499,-333.0426064,-414.3759397,-602.9521974,-390.2904091,-908.3672206,-349.2904091,-115,-84,-178.6707444,-174.6904091,-172.4,-326.6666667,-585.8904089,-621.490409,-76.1452377
-513.1570757,-264.1382781,-573.3570757,-353.5521974,-484.8237424,-399.9759397,-319.7182476,-829.7521973,-545.1570757,-949.700554,-732.1688262,-142.1139101,-172,-269.8237424,-104.8237424,-193.6666667,-275.2855307,-83.88839412,-255.8237424,-72.55219735
-460.8237424,-323.6666667,-532.8237424,-436.2188641,-543.8953538,-454.709273,-403.1759397,-758.4855307,-708.0942454,-1079.433888,-305.0666667,-473.6237423,-134.4,-233.1570757,-155.3688262,-266.8,-72.55219735,-93.61886402,-99.88249492,-72.55219735
-936.8942454,-547.9084246,-573.3759397,-459.1521974,-325.709273,-637.0426064,-595.795363,-408.6464428,-536,-752.9440324,-219.3333333,-648.2237423,-746.2666667,-717.5875151,-90.33333333,-330.3333333,-196.818864,-410.2188641,-105.6666667,-162.218864
-397.1570757,-434.8855307,-396.4426064,-490.8543569,-284.3759397,-531.029273,-973.9131095,-407.0655002,-653.8173913,-383,-293.1256606,-187.4904091,-284.6666667,-327.0426064,-283.6666667,-240.5979851,-348.5521974,-484.7521974,-196,-413.3452377
-368.3570757,-382.9521974,-940.0150276,-346.030702,-494.6331094,-379.4634374,-2652.442607,-986.3341818,-692.2310239,-383,-301.1570757,-1041.557076,-720.2,-203.9169459,-170,-115.618864,-298.2188641,-234.8855307,-106.2208789,-186.6487175
-1319.37594,-672.3521973,-507.5521974,-265.8237424,-424.5521974,-782.0666667,-479.9849143,-539.709273,-698.0956756,-498.9177465,-408.0237423,-2404.364748,-391.5979851,-242.2855307,-703.0666667,-72.55219735,-358.3104395,-174.620879,-224.8855307,-726.618864
-1596.042607,-272.5521974,-958.018864,-265.8237424,-360.9771061,-322.2040778,-462.4286871,-2369.003277,-1191.899753,-538.4237424,-60.82374237,-1461.019665,-896.218864,-196.2188641,-1712.066667,-83.81886402,-187.3333333,-594.4,-224.8855307,-860.2188639
-502.7210236,-221.5173991,-338.2188641,-212.8942454,-375.3333333,-1121.557076,-1177.709273,-4262.952197,-963.079418,-727.4904091,-1334.023742,-181.8237424,-784.6855307,-133.8855307,-1502.4,-250.2188641,-55.3726626,-394.5910255,-175.4188641,-2193.552197
